datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,170750.20,177472.80,178120.50
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,170273.70,177003.50,178120.50
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,170203.60,177008.40,178120.50
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,171213.20,178020.40,178120.50
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,171502.50,178210.90,178120.50
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,173590.30,179816.60,178120.50
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,174353.10,180229.50,178120.50
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,176301.00,180870.40,178120.50
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,177487.30,180873.90,178120.50
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,176963.70,180747.20,178120.50
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,174746.80,179763.70,178120.50
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,174577.50,179608.90,178120.50
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,175481.60,180515.40,178120.50
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,175492.00,180558.90,178120.50
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,176400.60,184436.90,178120.50
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,176408.80,184469.90,178120.50
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,176383.00,184205.70,178120.50
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,177862.70,185478.50,178120.50
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,178279.20,185915.50,178120.50
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,177940.30,185555.40,178120.50
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,177515.90,184264.60,178120.50
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,175954.50,184049.00,178120.50
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,175108.60,183264.90,178120.50
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,173741.20,183102.10,178120.50
1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,170090.70,177832.40,178120.50
1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,168535.90,176861.00,178120.50
1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,168698.30,177123.30,178120.50
1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,168753.00,176677.30,178120.50
1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,168932.90,176736.30,178120.50
1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,171355.10,178787.40,178120.50
1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,173114.90,179043.40,178120.50
