Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
Earth Station 76,Energy Concepts,New Jersey,Logan,150,500000,Hyperscale,2027,,N+2,N+2,AE
Untangled Technology Data Center,Untangled Technology,Ohio,Canton,,,,,,,,AEP
Ark Data Centers Canton,Ark Data Centers,Ohio,Canton,1.5,5600,,2009,,N+1,N+1,AEP
CeraNet DC1,"CeraNet, Inc.",Ohio,Columbus,,2500,,,,N+1,N+1,AEP
Cologix COL4-S,Cologix,Ohio,Columbus,27,,,,,,,AEP
Cologix COL3-S,Cologix,Ohio,Columbus,18,,,,,2N,2N,AEP
Cologix COL2,Cologix,Ohio,Columbus,,,,,,N+1,2N,AEP
eNET CMH-1,"eNET, Inc",Ohio,Columbus,,,,,,N+1,N+1,AEP
Racksquared Value Way Datacenter,RackSquared,Ohio,Columbus,,,,,,,,AEP
Amazon AWS CMH - Crosby Campus,Amazon AWS,Ohio,Dublin,,,,,,,,AEP
"DartPoints Dublin, OH - CMH01",DartPoints,Ohio,Dublin,3,6000,,,,N+1,N+1,AEP
Expedient Dublin,Expedient Data Centers,Ohio,Dublin,4.8,,,,,2N,,AEP
Meta New Albany Data Center,Meta,Ohio,Etna,,,,,,,,AEP
Amazon AWS - 11793 Vans Valley,Amazon AWS,Ohio,Galena,,,,2028,,,,AEP
DP Facilities - Hannibal Gap Data Center,DP Facilities,Ohio,Hannibal,,,,,,,,AEP
Microsoft - Thornwood Dr SW,Microsoft,Ohio,Heath,,,,2026,,,,AEP
Microsoft - 129 N High St,Microsoft,Ohio,Hebron,,,,2026,,,,AEP
Amazon AWS CMH - Hayden Campus,Amazon AWS,Ohio,Hillard,,,,,,,,AEP
LexisNexis Hilliard,LexisNexis,Ohio,Hillard,,,,,,N+1,N+1,AEP
Amazon AWS CMH - Scioto Campus,Amazon AWS,Ohio,Hillard,,,,,,,,AEP
Cologix Johnstown Campus,Cologix,Ohio,Johnstown,800,2000000,,,,,,AEP
Vantage OH1 - New Albany,1 - New Albany,Ohio,Johnstown,192,,,2025,,,,AEP
Amazon AWS CMH - Beech North Campus,Amazon AWS,Ohio,Johnstown,,,,,,,,AEP
Amazon AWS CMH - Beech South Campus,Amazon AWS,Ohio,Johnstown,,,,,,,,AEP
Google Johnstown,Google,Ohio,Johnstown,,,,,,,,AEP
Amazon AWS CMH - Newton Campus,Amazon AWS,Ohio,Johnstown,,,,,,,,AEP
CyrusOne - New Albany,CyrusOne Data Centers,Ohio,Johnstown,,,,,,,,AEP
Google Lancaster Data Center,Google,Ohio,Lancaster,,,,2024,,,,AEP
Cologix COL5,Cologix,Ohio,Lewis Center,95,6000,,2025,,,,AEP
Expedient Lewis Center,Expedient Data Centers,Ohio,Lewis Center,7,102000,,,,2N,,AEP
Google Lockbourne Data Center,Google,Ohio,Lockbourne,,,,,,,,AEP
Amazon AWS CMH - Project Cosmo Campus,Amazon AWS,Ohio,Marysville,,,,,,,,AEP
Vantage OH2 - Millersport,Vantage Data Centers,Ohio,Millersport,800,,,2026,,,,AEP
Microsoft - Beech Rd NW & Fitzwilliam Ln,Microsoft,Ohio,New Albany,,245000,,,,,,AEP
STACK Infrastructure NAL01A,STACK INFRASTRUCTURE,Ohio,New Albany,60,,,,,N+1,N+1,AEP
Compugen New Albany Data Center,Compugen Inc.,Ohio,New Albany,2,15000,,,,,,AEP
Compass New Albany,Compass Datacenters,Ohio,New Albany,,,,,,,,AEP
Edged Columbus,Edged Energy,Ohio,New Albany,24,206000,,,,N+1,N+1,AEP
QTS New Albany 3,QTS Data Centers,Ohio,New Albany,,,,2033,,,,AEP
Google New Albany Data Center,Google,Ohio,New Albany,,,,,,,,AEP
QTS New Albany 2 DC2,QTS Data Centers,Ohio,New Albany,,,,2025,,,,AEP
QTS New Albany 2 DC1,QTS Data Centers,Ohio,New Albany,,,,,,,,AEP
QTS New Albany 1 DC2,QTS Data Centers,Ohio,New Albany,,,,,,,,AEP
QTS New Albany 1 DC1,QTS Data Centers,Ohio,New Albany,,,,2025,,,,AEP
TKG Data Center,The Karcher Group,Ohio,North Canton,,,,,,,,AEP
Centersquare - Columbus CMH1-A,Centersquare,Ohio,North Lewis Center,1.8,27223,,,,2N,2N,AEP
Microtronix Datacenter,"Microtronix ESolutions, LLC",Ohio,Ohio,,,,,,,,AEP
Amazon AWS CMH - Industrial Parkway Campus,Amazon AWS,Ohio,Plain City,,,,,,,,AEP
Amazon AWS CMH - Warner Campus,Amazon AWS,Ohio,Plain City,,,,,,,,AEP
Lumen Cincinnati 2,Lumen,Ohio,West Chester,,,,,,,,AEP
CeraNet DC3,"CeraNet, Inc.",Ohio,Westerville,,2500,,,,N+1,N+1,AEP
Microsoft Ridge Road Campus,Microsoft,Virginia,Boydton,,,,,,,,AEP
Microsoft Boydton Campus,Microsoft,Virginia,Boydton,,,,,,,,AEP
Microsoft Prison Road Campus,Microsoft,Virginia,Boydton,,,,,,,,AEP
OnePartner ATAC,"OnePartner, LLC.",Virginia,Duffield,10,,,,,N+1,N+1,AEP
Rockbridge Area Network Authority - RAP,Rockbridge Area Network Authority,Virginia,Lexington,0.1,,Colocation,,,2N,,AEP
Microsoft Hillcrest Campus,Microsoft,Virginia,South Hill,48,,,2010,,,,AEP
DP Facilities - Mineral Gap Data Center,DP Facilities,Virginia,Wise,45,65000,Colocation,,,N+2,N+2,AEP
Citynet Charleston,"Citynet, LLC",West Virginia,Charleston,,,,,,,,AEP
Pinnacle Technical Solutions Data Center,Pinnacle Technical Solutions,West Virginia,Nitro,,,,,,,,AEP
Alpha Technologies Global Data Center,Alpha Technologies,West Virginia,South Charleston,,,,,,,,AEP
Ark Data Centers Pittsburgh,Ark Data Centers,Pennsylvania,Freeport,1.5,11200,Colocation,2017,2023,2N,N+1,AP
182 Northpointe Blvd,Chirisa,Pennsylvania,Freeport,100,71000,Hyperscale,2006,,,,AP
Citynet Bridgeport,"Citynet, LLC",West Virginia,Bridgeport,,,,,,,,AP
Citynet Morgantown,"Citynet, LLC",West Virginia,Star City,,,,,,,,AP
Cogent Data Center - Akron,"Cogent Communications, Inc.",Ohio,Akron,5,,,,,,,ATSI
Lumen Akron 2,Lumen,Ohio,Akron,,,,,,,,ATSI
Ark Data Centers Akron 2,Ark Data Centers,Ohio,Akron,1,10000,,,,2N,N+1,ATSI
Ark Data Centers Akron 1,Ark Data Centers,Ohio,Akron,1,10000,,,,2N,N+1,ATSI
Meta Bowling Green Campus,Meta,Ohio,Bowling Green,,66425,,,,,,ATSI
Mangobay Cleveland,Mango Bay Internet,Ohio,Brooklyn Heights,,,,,,,,ATSI
Cleveland Data Center,Green Bridge Real Estate,Ohio,Cleveland,,,,,,,,ATSI
Expedient Garfield Heights 2,Expedient Data Centers,Ohio,Cleveland,2,,,,,2N,,ATSI
Expedient Garfield Heights 1,Expedient Data Centers,Ohio,Cleveland,2.7,,,,,2N,,ATSI
H5 Data Centers Cleveland,H5 Data Centers,Ohio,Cleveland,,351000,,,,2N,2N,ATSI
Lumen Cleveland 1,Lumen,Ohio,Cleveland,,,,,,,,ATSI
DataBank CLE1 - Downtown Cleveland,DataBank,Ohio,Cleveland,0.4,7440,,,,N+1,N+1,ATSI
