Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-88.488262044,43.753591569]}","Fond du Lac County, WI",80.0,0.0,0.0,0.0,80.0,55039,Fond du Lac,WI
"{""type"":""Point"",""coordinates"":[-77.483816778,38.747861821]}","Manassas city, VA",25.0,30.0,50.0,80.0,105.0,51683,Manassas,VA
"{""type"":""Point"",""coordinates"":[-102.031609279,31.869159948]}","Midland County, TX",4.0,112.0,0.0,112.0,116.0,48329,Midland,TX
"{""type"":""Point"",""coordinates"":[-96.572430827,33.187991158]}","Collin County, TX",377.12,305.41,101.9,407.31,784.43,48085,Collin,TX
"{""type"":""Point"",""coordinates"":[-78.876592723,36.036028958]}","Durham County, NC",0.0,58.0,0.0,58.0,58.0,37063,Durham,NC
"{""type"":""Point"",""coordinates"":[-89.117710198,30.789951647]}","Stone County, MS",0.0,15.0,0.0,15.0,15.0,28131,Stone,MS
"{""type"":""Point"",""coordinates"":[-86.289857679,41.616718005]}","St. Joseph County, IN",401.0,6.55,790.6,797.15,1198.15,18141,St. Joseph,IN
"{""type"":""Point"",""coordinates"":[-106.798493803,42.962240446]}","Natrona County, WY",250.0,0.0,1.1,1.1,251.1,56025,Natrona,WY
"{""type"":""Point"",""coordinates"":[-80.436515884,26.647554958]}","Palm Beach County, FL",0.0,6.2,0.0,6.2,6.2,12099,Palm Beach,FL
"{""type"":""Point"",""coordinates"":[-77.55958032,36.675883445]}","Greensville County, VA",120.0,0.0,0.0,0.0,120.0,51081,Greensville,VA
"{""type"":""Point"",""coordinates"":[-120.452190846,35.387449053]}","San Luis Obispo County, CA",0.0,9.6,0.0,9.6,9.6,6079,San Luis Obispo,CA
"{""type"":""Point"",""coordinates"":[-97.248021013,46.932964277]}","Cass County, ND",0.0,2.6,0.0,2.6,2.6,38017,Cass,ND
"{""type"":""Point"",""coordinates"":[-79.774987196,36.396012789]}","Rockingham County, NC",150.0,0.0,48.0,48.0,198.0,37157,Rockingham,NC
"{""type"":""Point"",""coordinates"":[-94.272435584,44.823559081]}","McLeod County, MN",10.0,20.0,0.0,20.0,30.0,27085,McLeod,MN
"{""type"":""Point"",""coordinates"":[-98.022865266,40.873032753]}","Hamilton County, NE",0.0,5.0,10.0,15.0,15.0,31081,Hamilton,NE
"{""type"":""Point"",""coordinates"":[-102.542749204,31.869172538]}","Ector County, TX",150.0,207.0,100.0,307.0,457.0,48135,Ector,TX
"{""type"":""Point"",""coordinates"":[-93.947999333,43.673928314]}","Faribault County, MN",0.0,0.0,15.0,15.0,15.0,27043,Faribault,MN
"{""type"":""Point"",""coordinates"":[-84.290668836,39.754672143]}","Montgomery County, OH",5.0,6.7,0.0,6.7,11.7,39113,Montgomery,OH
"{""type"":""Point"",""coordinates"":[-86.660638543,33.264270149]}","Shelby County, AL",33.0,0.0,22.0,22.0,55.0,1117,Shelby,AL
"{""type"":""Point"",""coordinates"":[-87.585827204,38.024835526]}","Vanderburgh County, IN",0.0,0.7,0.0,0.7,0.7,18163,Vanderburgh,IN
"{""type"":""Point"",""coordinates"":[-83.009292276,39.96954604]}","Franklin County, OH",483.0,1069.4,188.0,1257.4,1740.4,39049,Franklin,OH
