BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201707,18,1200,201707,23,2000,119274,716212,ILLINOIS,17,2017,July,Excessive Heat,Z,101,ST. CLAIR,LSX,18-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit the St. Louis Metro area from July 18 - 23. High temperatures started in the upper 90s then ended near 110 on the 23rd. The heat index ranged from 105 to around 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119275,716213,ILLINOIS,17,2017,July,Excessive Heat,Z,79,RANDOLPH,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southwest Illinois July 21 through July 23. High temperatures were around 100 degrees with the heat index from 105 - 110.,,CSV
201707,21,1200,201707,23,2000,119277,716215,MISSOURI,29,2017,July,Excessive Heat,Z,72,CRAWFORD,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716217,MISSOURI,29,2017,July,Excessive Heat,Z,84,IRON,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716218,MISSOURI,29,2017,July,Excessive Heat,Z,85,MADISON,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716219,MISSOURI,29,2017,July,Excessive Heat,Z,99,REYNOLDS,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716220,MISSOURI,29,2017,July,Excessive Heat,Z,74,ST. FRANCOIS,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716221,MISSOURI,29,2017,July,Excessive Heat,Z,75,STE. GENEVIEVE,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,21,1200,201707,23,2000,119277,716223,MISSOURI,29,2017,July,Excessive Heat,Z,73,WASHINGTON,LSX,21-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit southeast Missouri July 21 through July 23. High temperatures were in the upper 90s to around 100 with the heat index from 105 to 110 degrees.,,CSV
201707,19,1200,201707,23,1900,119272,716178,ILLINOIS,17,2017,July,Excessive Heat,Z,98,CALHOUN,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
201707,19,1200,201707,23,1900,119272,716179,ILLINOIS,17,2017,July,Excessive Heat,Z,69,CLINTON,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
201707,19,1200,201707,23,1900,119272,716180,ILLINOIS,17,2017,July,Excessive Heat,Z,65,FAYETTE,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
201707,19,1200,201707,23,1900,119272,716181,ILLINOIS,17,2017,July,Excessive Heat,Z,58,GREENE,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
201707,19,1200,201707,23,1900,119272,716183,ILLINOIS,17,2017,July,Excessive Heat,Z,59,MACOUPIN,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
201707,9,1200,201707,13,2000,119270,716170,ILLINOIS,17,2017,July,Heat,Z,100,MADISON,LSX,09-JUL-17 12:00:00,CST-6,13-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,The first heat wave of the summer hit the St. Louis Metro area. The official temperature at St. Louis Lambert International Airport topped 100 degrees on the 10th - 12th. The Heat Index across the area ranged from 100 - 110 the 9th - 13th.,,CSV
201707,18,1200,201707,23,2000,119274,716210,ILLINOIS,17,2017,July,Excessive Heat,Z,100,MADISON,LSX,18-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit the St. Louis Metro area from July 18 - 23. High temperatures started in the upper 90s then ended near 110 on the 23rd. The heat index ranged from 105 to around 110 degrees.,,CSV
201707,18,1200,201707,23,2000,119274,716211,ILLINOIS,17,2017,July,Excessive Heat,Z,102,MONROE,LSX,18-JUL-17 12:00:00,CST-6,23-JUL-17 20:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,An excessive heat wave hit the St. Louis Metro area from July 18 - 23. High temperatures started in the upper 90s then ended near 110 on the 23rd. The heat index ranged from 105 to around 110 degrees.,,CSV
201707,19,1200,201707,23,1900,119272,716185,ILLINOIS,17,2017,July,Excessive Heat,Z,70,MARION,LSX,19-JUL-17 12:00:00,CST-6,23-JUL-17 19:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,Excessive heat hit west central through southwest Illinois July 19 - July 23. High temperatures were in the upper 90s to around 105. The Heat Index ranged from 1-5 to around 110.,,CSV
